"ID" "TIMESTAMP" "DAY" "DIST" "MAX" "MIN" "MEAN" "MEDIAN"
"20101122-002231" "2010-11-22T00:22:33Z" "Mon" 3.24505119929101 41.65999075584 0.5348946064284 20.2317588365387 22.295947763556
"20101123-164914" "2010-11-23T16:49:28Z" "Tue" 2.66390514559732 39.72796003152 0 20.2232499993805 22.026367019394
"20101211-184412" "2010-12-11T18:44:13Z" "Sat" 0.0925313171793734 4.794528524688 0 0.214724667675744 0.05707811293488
"20101211-195359" "2010-12-11T19:54:04Z" "Sat" 27.2843202440015 136.64725407792 0 17.1921680307167 19.537059342744
"20101212-174943" "2010-12-12T17:49:49Z" "Sun" 41.1965465004795 74.9065101768 0 25.3314095016634 25.108899401268
"20101212-202222" "2010-12-12T20:22:23Z" "Sun" 11.0006339923207 35.839326528036 0 17.8186417319802 19.470479619024
"20101228-024611" "2010-12-28T02:46:22Z" "Tue" 7.9951421699938 41.7776520294 0 17.5880344637925 19.057461063156
"20110103-002226" "2011-01-03T00:22:35Z" "Mon" 0.0277693424279707 0.7994696480784 0 0.0514192237372426 0
"20110122-152412" "2011-01-22T15:24:13Z" "Sat" 41.2711784311649 113.58599654124 0 25.1099286279438 24.801867300564
"20110123-200740" "2011-01-23T20:07:44Z" "Sun" 32.0302547042729 51.71609081412 0 14.0634102380754 13.8899688552
"20110129-155759" "2011-01-29T15:58:05Z" "Sat" 127.360819859849 143.87977439604 0 20.860138460015 17.128500907644
"20110205-155045" "2011-02-05T15:50:51Z" "Sat" 24.3410150310074 44.60060111148 0 22.3509856563951 23.930413828272
"20110305-170421" "2011-03-05T17:04:27Z" "Sat" 55.8614984315791 69.54732493884 0 20.3234685698486 19.220071723524
"20110312-163804" "2011-03-12T16:38:05Z" "Sat" 53.2464391304166 163.65398737248 0 20.8070531545046 20.51570199024
"20110403-151516" "2011-04-03T15:15:18Z" "Sun" 39.7153523613263 125.2708116336 0 24.613754388705 24.147116471304
"20110409-191212" "2011-04-09T19:12:18Z" "Sat" 114.348364387653 89.9871561882 0 19.7532748597125 16.996533678234
"20110413-190946" "2011-04-13T19:09:47Z" "Wed" 21.4191043247898 47.35004072904 0 20.0636569216992 20.982540865806
"20110416-143815" "2011-04-16T14:38:21Z" "Sat" 70.1706981258288 85.6504741302 0 24.2653012810642 23.528670768324
"20110427-231813" "2011-04-27T23:18:23Z" "Thu" 23.1039936301921 61.6411176408 0 25.0183204352798 27.283243476168
"20110430-160524" "2011-04-30T16:05:30Z" "Sat" 29.4230280708837 47.50309218348 0 24.1212068866621 25.437705915456
"20110504-144014" "2011-05-04T14:40:19Z" "Wed" 42.6075222464363 69.8672897604 0 25.5803886453705 25.576657038342
"20110507-154554" "2011-05-07T15:47:13Z" "Sat" 50.3547565817885 187.82573944608 0 21.2875865274372 20.177739069264
"20110514-150700" "2011-05-14T15:07:07Z" "Sat" 38.3503924579031 82.10826343008 0 25.0651554250143 23.988231659376
"20110521-162923" "2011-05-21T16:30:07Z" "Sat" 97.3857173455819 90.67234580496 0 22.001293659055 21.592816453152
"20110602-134632" "2011-06-02T13:46:33Z" "Thu" 56.8172344979508 150.5266390692 0 23.8917024865563 22.172653273194
"20110605-192915" "2011-06-05T19:29:21Z" "Sun" 19.8611097173705 80.1969011874 0 24.9153245210065 26.12156060484
"20110612-123638" "2011-06-12T12:36:40Z" "Sun" 8.57206153666046 67.0614433524 0.0513539338626 24.0101894663594 26.23861445238
"20110612-133845" "2011-06-12T13:38:51Z" "Sun" 125.489841271707 340.79980240584 0 22.0072757683141 18.054317791224
"20110619-005544" "2011-06-19T00:55:46Z" "Sun" 14.9648931998778 44.48937420792 0 26.6447098439758 27.48134467737
"20110623-002944" "2011-06-23T00:30:15Z" "Thu" 48.6418812583456 93.12918236496 0 21.6291203521966 20.928920148072
"20110627-002713" "2011-06-27T00:27:14Z" "Mon" 37.982809026825 68.92878453228 0 26.4140040615043 26.07881987268
"20110629-133538" "2011-06-29T13:35:44Z" "Wed" 29.6594713406514 53.326735677 0.014712001727004 26.8867078613215 27.166324674816
"20110701-003214" "2011-07-01T00:32:18Z" "Fri" 48.476919407981 86.16123489744 0 22.3486571657896 21.625464504708
"20110702-154209" "2011-07-02T15:42:10Z" "Sat" 98.4395661882553 204.42076048404 0 22.7938642677991 20.52774111186
"20110704-235556" "2011-07-04T23:56:02Z" "Tue" 34.3340559395248 87.6244707054 0.035846567948592 21.573790489393 21.174420963492
"20110709-164421" "2011-07-09T16:44:30Z" "Sat" 47.0149508166036 71.28078466608 0 22.2506633842226 20.706745116852
"20110713-004124" "2011-07-13T00:41:30Z" "Wed" 37.9576970244561 93.46678516476 0 26.5587721561272 25.938087482412
"20110717-233155" "2011-07-17T23:31:57Z" "Mon" 37.8642876942261 70.81784566884 0 26.5474913161261 25.440829770096
"20110722-133942" "2011-07-22T13:39:45Z" "Fri" 37.4914444605347 93.24591266412 0 27.3750687587767 26.940726112068
"20110727-132608" "2011-07-27T13:26:14Z" "Wed" 0.73361183150929 25.685430828876 6.472764809964 15.4081091311229 12.411994050468
"20110727-132907" "2011-07-27T13:29:08Z" "Wed" 37.3246063651421 63.69782960052 0 27.0440838831353 26.5467376683
"20110730-152316" "2011-07-30T15:23:17Z" "Sat" 109.822218727874 108.2219620428 0 21.7729633560805 18.693621234828
"20110802-131448" "2011-08-02T13:14:49Z" "Tue" 38.1781086414261 50.40939436884 0 24.8139862433239 24.790632414984
"20110807-160047" "2011-08-07T16:00:53Z" "Sun" 58.2852514123115 78.55569659232 0 21.6150699451016 20.537930227644
"20110809-130830" "2011-08-09T13:08:35Z" "Tue" 38.1281176307221 70.20548931564 0 27.6013864654024 26.61047642016
"20110819-133235" "2011-08-19T13:32:36Z" "Fri" 38.0947540965163 70.64231870772 0 27.0574019386615 26.280691405596
"20110824-023053" "2011-08-24T02:30:59Z" "Wed" 41.2083303872869 224.97473346804 0 26.9698830981801 26.26854605208
"20110827-143037" "2011-08-27T14:30:43Z" "Sat" 38.6723290478098 59.53410220896 0 24.886585877783 24.290187570828
"20110914-012129" "2011-09-14T01:21:30Z" "Wed" 41.3121725107573 79.7558828472 0 27.181296914111 27.80251231518
"20110922-015111" "2011-09-22T01:51:30Z" "Thu" 40.6752299625431 92.63623959324 0 27.3716860250283 26.04217401216
"20110925-202742" "2011-09-25T20:28:16Z" "Sun" 48.2941333825254 105.56376713712 0 22.0937702260936 20.842506610254
"20111001-145021" "2011-10-01T14:50:22Z" "Sat" 170.404673760956 217.5352264422 0 21.2947886096336 18.801973872738
"20111014-004027" "2011-10-14T00:40:33Z" "Fri" 40.911917372355 106.17545247372 0 27.7220741225167 26.943478790238
"20111017-001235" "2011-10-17T00:12:39Z" "Mon" 29.3105258790646 52.39637480484 0.031452536295216 25.3502677195835 26.509175277282
"20111019-004404" "2011-10-19T00:44:05Z" "Wed" 44.3461966189778 52.67297411136 0 26.4014444480999 26.648575679736
"20111026-003336" "2011-10-26T00:33:42Z" "Wed" 40.7077647734207 104.84359673976 0 26.4368312883625 26.377780729896
"20111029-155035" "2011-10-29T15:50:38Z" "Sat" 48.3245228137751 105.82948074744 0 22.2635299403228 20.858640891552
"20111116-142044" "2011-11-16T14:20:45Z" "Wed" 67.5582565330037 55.93292974224 0 23.8539435238993 23.947496613792
"20111121-142941" "2011-11-21T14:29:46Z" "Mon" 71.1918763481115 99.89033983992 0 23.401974806946 25.297700011704
"20111202-141513" "2011-12-02T14:15:18Z" "Fri" 67.9650080200277 263.81342028348 0 25.1111703690944 27.20223280341
"20111207-141622" "2011-12-07T14:16:24Z" "Wed" 67.0853172282193 113.83175201436 0 23.928881847418 26.078308641612
"20111213-141318" "2011-12-13T14:13:23Z" "Tue" 67.1283090120794 252.6729953328 0 23.3425472795591 25.270260605388
"20111216-141823" "2011-12-16T14:18:29Z" "Fri" 116.609239552273 9364.484712456 0 27.0186590672626 25.574481782352
"20111220-142714" "2011-12-20T14:27:15Z" "Tue" 67.2799478312504 58.18676490756 0 24.0772128568678 26.44699375116
"20111225-182318" "2011-12-25T18:23:20Z" "Sun" 15.5474078789454 61.46690218992 0.12937410288108 26.4776710807828 27.819346928418
"20111227-093411" "2011-12-27T09:34:23Z" "Tue" 29.762789442807 61.44832888128 0 29.6341545370825 29.31175496322
"20120102-182409" "2012-01-02T18:24:15Z" "Mon" 25.8204004676789 78.30052090704 0 28.298553499129 28.277263437084
"20120103-103426" "2012-01-03T10:34:27Z" "Tue" 21.8717136539562 62.86917386232 0 28.0497117953355 27.704691905382
"20120104-091819" "2012-01-04T09:18:24Z" "Wed" 75.955553448599 103.52213799264 0 24.4159845073767 23.632133863536
"20120107-073651" "2012-01-07T07:36:52Z" "Sat" 148.596507798422 210.81225293064 0 22.6930008603189 20.720036664936
"20120110-100857" "2012-01-10T10:09:04Z" "Tue" 20.6135314675284 61.06184588124 0 28.8278704986399 29.021327669736
"20120112-090812" "2012-01-12T09:08:18Z" "Thu" 28.2567294657217 64.03070745756 13.654519031088 29.4379917602171 29.44400524596
"20120112-222547" "2012-01-12T22:25:48Z" "Fri" 28.5732856101957 55.78683831756 0 17.9415099338417 16.865221612104
"20120124-141119" "2012-01-24T14:12:38Z" "Tue" 66.9617847595375 204.70013247312 0 24.7470585869363 26.997469540308
"20120126-141431" "2012-01-26T14:14:45Z" "Thu" 67.0026837025353 71.59300009884 0 23.9997785275918 25.953616699524
"20120128-161713" "2012-01-28T16:17:50Z" "Sat" 55.6026316585561 59.92865616492 0 21.3654943639003 22.18316359698
"20120131-140715" "2012-01-31T14:07:16Z" "Tue" 66.6691130456451 102.80255464872 0 23.2914145605443 25.374793538484
"20120204-180240" "2012-02-04T18:02:41Z" "Sat" 39.6996385810137 66.07619649324 0 20.8157111715271 19.601605734948
"20120205-230950" "2012-02-05T23:09:51Z" "Mon" 28.6373457894236 93.30545135088 0 21.3453422167964 20.457853033464
"20120211-163812" "2012-02-11T16:38:13Z" "Sat" 101.187452647582 96.46574314104 0 22.4300295197073 20.914442864172
"20120214-141826" "2012-02-14T14:18:28Z" "Tue" 75.1533510168868 91.22547447072 0 23.8954909842597 22.532998394412
